sdtname,dtname,stname,number_of_cell_towers
Ghatkesar,Rangareddy,TELANGANA,2
Ghaziabad,Ghaziabad,UTTAR PRADESH,2
Gird,Gwalior,MADHYA PRADESH,1
Giridih,Giridih,JHARKHAND,1
Girwa,Udaipur,RAJASTHAN,1
Godhra,Panch Mahals,GUJARAT,1
Gohana,Sonipat,HARYANA,1
Goharganj,Raisen,MADHYA PRADESH,1
Gokak,Belagavi,KARNATAKA,1
Gola Gokaran Nath,Kheri,UTTAR PRADESH,1
Golmuri-Cum-Jugsalai,Purbi Singhbhum,JHARKHAND,2
Gondiya,Gondiya,MAHARASHTRA,4
Gopavaram,Y.S.R.,ANDHRA PRADESH,1
Gorakhpur,Gorakhpur,UTTAR PRADESH,2
Gudalur,The Nilgiris,TAMILNADU,1
Gudivada,Krishna,ANDHRA PRADESH,1
Gudiyatham,Vellore,TAMILNADU,1
Guduru,Krishna,ANDHRA PRADESH,1
Gulbarga,Kalaburagi,KARNATAKA,2
Gundlupet,Chamarajanagara,KARNATAKA,1
Gunnaur,Budaun,UTTAR PRADESH,1
Gunnor,Panna,MADHYA PRADESH,1
Guntakal,Anantapur,ANDHRA PRADESH,1
Guntur,Guntur,ANDHRA PRADESH,1
Gurdaspur,Gurdaspur,PUNJAB,1
Gurgaon,Gurgaon,HARYANA,2
Guwahati,Kamrup Metropolitan,ASSAM,1
Habra - I,North Twenty Four Parganas,WEST BENGAL,1
Habra - II,North Twenty Four Parganas,WEST BENGAL,1
Hajipur,Vaishali,BIHAR,1
Haldwani,Nainital,UTTARAKHAND,2
Haliyal,Uttara Kannada,KARNATAKA,1
Hamirpur,Hamirpur,HIMACHAL PRADESH,1
Hanamkonda,Warangal,TELANGANA,1
Hansi,Hisar,HARYANA,1
Hansot,Bharuch,GUJARAT,1
Haora,Haora,WEST BENGAL,1
Harapanahalli,Davanagere,KARNATAKA,1
Hardwar,Hardwar,UTTARAKHAND,3
Harihar,Davanagere,KARNATAKA,1
Haringhata,Nadia,WEST BENGAL,1
Hasanpur,Jyotiba Phule Nagar,UTTAR PRADESH,1
Hassan,Hassan,KARNATAKA,1
Hathras,Hathras,UTTAR PRADESH,1
Hauz Khas,South,DELHI,3
Haveli,Pune,MAHARASHTRA,2
Haveri,Haveri,KARNATAKA,1
Hazaribag,Hazaribagh,JHARKHAND,2
Himatnagar,Sabar Kantha,GUJARAT,1
Hindaun,Karauli,RAJASTHAN,1
Hindupur,Anantapur,ANDHRA PRADESH,1
Hinganghat,Wardha,MAHARASHTRA,1
Hingna,Nagpur,MAHARASHTRA,1
Hingoli,Hingoli,MAHARASHTRA,1
Hiriyur,Chitradurga,KARNATAKA,1
Hisar,Hisar,HARYANA,2
Holalkere,Chitradurga,KARNATAKA,1
Hosdurg,Kasaragod,KERALA,1
Hoshiarpur,Hoshiarpur,PUNJAB,2
Hospet,Ballari,KARNATAKA,3
Hosur,Krishnagiri,TAMILNADU,3
Hubli,Dharwad,KARNATAKA,1
Hungund,Bagalkote,KARNATAKA,1
Hunsur,Mysuru,KARNATAKA,1
Huzur,Bhopal,MADHYA PRADESH,1
Huzur,Rewa,MADHYA PRADESH,1
Ibrahimpatnam,Krishna,ANDHRA PRADESH,2
Idar,Sabar Kantha,GUJARAT,1
Inderavelly,Adilabad,TELANGANA,1
Indi,Vijayapura,KARNATAKA,1
Indore,Indore,MADHYA PRADESH,2
Itanagar,Papum Pare,ARUNACHAL PRADESH,1
Itarsi,Hoshangabad,MADHYA PRADESH,1
Jabalpur,Jabalpur,MADHYA PRADESH,1
Jagadhri,Yamunanagar,HARYANA,1
Jagdalpur,Bastar,CHATTISGARH,1
Jagdishpur,Bhagalpur,BIHAR,1
Jagraon,Ludhiana,PUNJAB,1
Jagtial,Jagitial,TELANGANA,1
Jaipur,Adilabad,TELANGANA,1
Jaipur,Jaipur,RAJASTHAN,1
Jajapur Road,Jajapur,ODISHA,1
Jaladanki,Sri Potti Sriramulu Nellore,ANDHRA PRADESH,1
Jalalabad,Firozpur,PUNJAB,1
Jalandhar - I,Jalandhar,PUNJAB,3
Jalgaon,Jalgaon,MAHARASHTRA,1
Jalna,Jalna,MAHARASHTRA,1
Jamboni,Jhargram,WEST BENGAL,1
Jammu,Jammu,JAMMU & KASHMIR,1
Jamnagar,Jamnagar,GUJARAT,1
Jaspur,Udham Singh Nagar,UTTARAKHAND,1
Jatani,Khordha,ODISHA,2
Jaynagar - I,South Twenty Four Parganas,WEST BENGAL,1
Jaynagar - II,South Twenty Four Parganas,WEST BENGAL,1
Jehanabad,Jehanabad,BIHAR,1
Jetpur,Rajkot,GUJARAT,1
Jhadol,Udaipur,RAJASTHAN,1
Jhajjar,Jhajjar,HARYANA,1
Jhalrapatan,Jhalawar,RAJASTHAN,1
Jhansi,Jhansi,UTTAR PRADESH,1
Jharsuguda,Jharsuguda,ODISHA,1
Jind,Jind,HARYANA,1
Jiribam,Imphal East,MANIPUR,1
Jodhpur,Jodhpur,RAJASTHAN,1
Jodiya,Jamnagar,GUJARAT,1
Jorhat West,Jorhat,ASSAM,1
Junagadh,Junagadh,GUJARAT,1
Kadapa,Y.S.R.,ANDHRA PRADESH,1
Kadiri,Anantapur,ANDHRA PRADESH,1
Kairana,Shamli,UTTAR PRADESH,1
Kaithal,Kaithal,HARYANA,1
Kakinada (Rural),East Godavari,ANDHRA PRADESH,2
Kalol,Gandhinagar,GUJARAT,1
Kalwakurthy,Mahbubnagar,TELANGANA,1
Kalyan,Thane,MAHARASHTRA,2
Kamanpur,Peddapalli,TELANGANA,1
Kamareddy,Nizamabad,TELANGANA,1
Kamptee,Nagpur,MAHARASHTRA,1
Kanayannur,Ernakulam,KERALA,9
Kancheepuram,Kancheepuram,TAMILNADU,2
Kandukur,Prakasam,ANDHRA PRADESH,1
Kangra,Kangra,HIMACHAL PRADESH,1
Kanjirappally,Kottayam,KERALA,1
Kanke,Ranchi,JHARKHAND,2
Kanker,Uttar Bastar Kanker,CHATTISGARH,1
Kankipadu,Krishna,ANDHRA PRADESH,1
Kannur,Kannur,KERALA,5
Kanpur,Kanpur Nagar,UTTAR PRADESH,2
Kapurthala,Kapurthala,PUNJAB,1
Karaikkudi,Sivaganga,TAMILNADU,1
Karanja,Washim,MAHARASHTRA,1
Karimnagar,Karimnagar,TELANGANA,1
Karnal,Karnal,HARYANA,1
Karthikappally,Alappuzha,KERALA,1
Karunagappally,Kollam,KERALA,1
Karur,Karur,TAMILNADU,1
Karvir,Kolhapur,MAHARASHTRA,3
Karwar,Uttara Kannada,KARNATAKA,1
Kasaragod,Kasaragod,KERALA,1
Kasdol,Baloda Bazar,CHATTISGARH,1
Kathua,Kathua,JAMMU & KASHMIR,1
Katigora,Cachar,ASSAM,1
Katihar,Katihar,BIHAR,1
Katlichara,Bongaigaon,ASSAM,1
Katpadi,Vellore,TAMILNADU,2
Kavali,Sri Potti Sriramulu Nellore,ANDHRA PRADESH,1
Keesara,Rangareddy,TELANGANA,1
Kendrapara,Kendrapara,ODISHA,1
Kendujhar Town,Kendujhar,ODISHA,1
Keskal,Kondagaon,CHATTISGARH,1
Khambhalia,Devbhumi Dwarka,GUJARAT,2
Khamgaon,Buldana,MAHARASHTRA,2
Khammam (Urban),Khammam,TELANGANA,1
Khandwa,East Nimar,MADHYA PRADESH,1
Khanna,Ludhiana,PUNJAB,1
Kharagpur - I,Medinipur West,WEST BENGAL,1
Kharar,Sahibzada Ajit Singh Nagar,PUNJAB,1
Khargone,West Nimar,MADHYA PRADESH,1
Khed,Pune,MAHARASHTRA,2
Khordha,Khordha,ODISHA,1
Kichha,Udham Singh Nagar,UTTARAKHAND,1
Kilvelur,Nagapattinam,TAMILNADU,1
Kiraoli,Agra,UTTAR PRADESH,1
Kochi,Ernakulam,KERALA,4
Kodad,Nalgonda,TELANGANA,1
Kodungallur,Thrissur,KERALA,3
Kohima Sadar,Kohima,NAGALAND,1
Koil,Aligarh,UTTAR PRADESH,1
Kokrajhar (Pt),Kokrajhar,ASSAM,1
Kolar,Kolar,KARNATAKA,1
Kolkata,South Twenty Four Parganas,WEST BENGAL,2
Kollam,Kollam,KERALA,5
Kollegal,Chamarajanagara,KARNATAKA,1
Kopargaon,Ahmadnagar,MAHARASHTRA,1
Koppal,Koppal,KARNATAKA,1
Korba,Korba,CHATTISGARH,1
Kothagudem,Bhadradri Kothagudem,TELANGANA,1
Kothakota,Mahbubnagar,TELANGANA,1
Kothamangalam,Ernakulam,KERALA,1
Kottarakkara,Kollam,KERALA,1
Kottayam,Kottayam,KERALA,1
Kovilpatti,Thoothukkudi,TAMILNADU,1
Kozhenchery,Pathanamthitta,KERALA,2
Kozhikode,Kozhikode,KERALA,8
Krishnaganj,Nadia,WEST BENGAL,1
Krishnagar - I,Nadia,WEST BENGAL,1
Krishnagiri,Krishnagiri,TAMILNADU,2
Krishnarajanagara,Mysuru,KARNATAKA,2
Krityanand Nagar,Purnia,BIHAR,1
Kudligi,Ballari,KARNATAKA,1
Kullu,Kullu,HIMACHAL PRADESH,1
Kultali,South Twenty Four Parganas,WEST BENGAL,1
Kumarghat,Unokoti,TRIPURA,1
Kumbakonam,Thanjavur,TAMILNADU,4
Kunigal,Tumakuru,KARNATAKA,1
Kunnathunad,Ernakulam,KERALA,1
Kurnool,Kurnool,ANDHRA PRADESH,2
Ladpura,Kota,RAJASTHAN,1
Lakhandur,Bhandara,MAHARASHTRA,1
Lakhani,Bhandara,MAHARASHTRA,1
Lakhipur,Karimganj,ASSAM,1
Lalgudi,Tiruchirappalli,TAMILNADU,2
Lamphelpat,Imphal West,MANIPUR,1
Latur,Latur,MAHARASHTRA,1
Lilia,Amreli,GUJARAT,1
Lingsugur,Raichur,KARNATAKA,1
Lohara,Osmanabad,MAHARASHTRA,1
Lucknow,Lucknow,UTTAR PRADESH,1
Ludhiana (East),Ludhiana,PUNJAB,2
Ludhiana (West),Ludhiana,PUNJAB,1
Lunawada,Mahisagar,GUJARAT,1
Lunglei,Lunglei,MIZORAM,1
Machilipatnam,Krishna,ANDHRA PRADESH,1
Madanapalle,Chittoor,ANDHRA PRADESH,1
Maddur,Mandya,KARNATAKA,1
Madhugiri,Tumakuru,KARNATAKA,2
Madikeri,Kodagu,KARNATAKA,1
Madurai North,Madurai,TAMILNADU,1
Madurai South,Madurai,TAMILNADU,3
Magrahat - I,South Twenty Four Parganas,WEST BENGAL,1
Maharajpur,Chhatarpur,MADHYA PRADESH,1
Mahasamund,Mahasamund,CHATTISGARH,1
Mahavan,Mathura,UTTAR PRADESH,1
Mahbubnagar,Mahbubnagar,TELANGANA,1
Mahesana,Mahesana,GUJARAT,2
Maihar,Satna,MADHYA PRADESH,1
Makrana,Nagaur,RAJASTHAN,1
Malavalli,Mandya,KARNATAKA,1
Maldah (Old),Maldah,WEST BENGAL,1
Maldakal,Jogulamba Gadwal,TELANGANA,1
Malegaon,Nashik,MAHARASHTRA,1
Malkapur,Buldana,MAHARASHTRA,1
Malur,Kolar,KARNATAKA,1
Manachanallur,Tiruchirappalli,TAMILNADU,1
Manali,Kullu,HIMACHAL PRADESH,1
Manapparai,Tiruchirappalli,TAMILNADU,2
Mancherial,Adilabad,TELANGANA,1
Mandapeta,East Godavari,ANDHRA PRADESH,1
Mandi,Mandi,HIMACHAL PRADESH,1
Mandla,Mandla,MADHYA PRADESH,1
Mandsaur,Mandsaur,MADHYA PRADESH,1
Mandya,Mandya,KARNATAKA,1
Manendragarh,Koriya,CHATTISGARH,1
Mangalagiri,Guntur,ANDHRA PRADESH,1
Mangalore,Dakshina Kannada,KARNATAKA,5
Mangaon,Raigarh,MAHARASHTRA,1
Mannargudi,Thiruvarur,TAMILNADU,1
Manu,Dhalai,TRIPURA,1
Margherita,Tinsukia,ASSAM,1
Marigaon,Morigaon,ASSAM,1
Markapur,Prakasam,ANDHRA PRADESH,1
Masaurhi,Patna,BIHAR,1
Mathavaram,Thiruvallur,TAMILNADU,5
Mathura,Mathura,UTTAR PRADESH,3
Matigara,Darjiling,WEST BENGAL,1
Mauda,Nagpur,MAHARASHTRA,1
Mawana,Meerut,UTTAR PRADESH,2
Mayiladuthurai,Nagapattinam,TAMILNADU,1
Medak,Medak,TELANGANA,1
Medchal,Rangareddy,TELANGANA,1
Medininagar(Daltonganj),Palamu,JHARKHAND,2
Medipalle,Jagitial,TELANGANA,1
Meenachil,Kottayam,KERALA,2
Meerut,Meerut,UTTAR PRADESH,1
Mettupalayam,Coimbatore,TAMILNADU,1
Mettur,Salem,TAMILNADU,1
Miraj,Sangli,MAHARASHTRA,3
Miryalaguda,Nalgonda,TELANGANA,1
Modasa,Aravalli,GUJARAT,1
Moga,Moga,PUNJAB,1
Mohadi,Bhandara,MAHARASHTRA,1
Mohanpur,Deoghar,JHARKHAND,1
Mohanpur,West Tripura,TRIPURA,2
Molakalmuru,Chitradurga,KARNATAKA,1
Moradabad,Moradabad,UTTAR PRADESH,1
Mormugao,South Goa,GOA,3
Morshi,Amravati,MAHARASHTRA,1
Morvi,Morbi,GUJARAT,1
Mukhed,Nanded,MAHARASHTRA,1
Mukundapuram,Thrissur,KERALA,1
Mulbagal,Kolar,KARNATAKA,1
Mumbai Suburban,Mumbai Suburban,MAHARASHTRA,1
Mundra,Kachchh,GUJARAT,1
Murtijapur,Akola,MAHARASHTRA,1
Murwara,Katni,MADHYA PRADESH,2
Musahri,Muzaffarpur,BIHAR,1
Muvattupuzha,Ernakulam,KERALA,2
Muzaffarnagar,Muzaffarnagar,UTTAR PRADESH,1
Mylliem,East Khasi Hills,MEGHALAYA,2
Mysore,Mysuru,KARNATAKA,4
NALCO,Anugul,ODISHA,1
Nadiad,Kheda,GUJARAT,1
Nagamangala,Mandya,KARNATAKA,1
Nagaon,Nagaon,ASSAM,1
Nagapattinam,Nagapattinam,TAMILNADU,1
Nagar,Ahmadnagar,MAHARASHTRA,1
Nagareddipet,Nizamabad,TELANGANA,1
Nagaur,Nagaur,RAJASTHAN,1
Nagpur (Urban),Nagpur,MAHARASHTRA,2
Naharkatiya,Dibrugarh,ASSAM,1
Naidupet,Sri Potti Sriramulu Nellore,ANDHRA PRADESH,1
Najafgarh,South West,DELHI,6
Nakhatrana,Kachchh,GUJARAT,2
Nakodar,Jalandhar,PUNJAB,1
Nalagarh,Solan,HIMACHAL PRADESH,1
Nalgonda,Nalgonda,TELANGANA,1
Namakkal,Namakkal,TAMILNADU,1
Nambol,Bishnupur,MANIPUR,1
Namkum,Ranchi,JHARKHAND,3
Nampally,Hyderabad,TELANGANA,1
Nandavaram,Kurnool,ANDHRA PRADESH,1
Nanded,Nanded,MAHARASHTRA,2
Nandgaon,Nashik,MAHARASHTRA,1
Nandod,Narmada,GUJARAT,2
Nandura,Buldana,MAHARASHTRA,1
Nandurbar,Nandurbar,MAHARASHTRA,1
Nandyal,Kurnool,ANDHRA PRADESH,1
Narasapuram,West Godavari,ANDHRA PRADESH,1
Narasaraopet,Guntur,ANDHRA PRADESH,1
